Out X,Out Y
0.001625,32
0.00163,38
0.001635,36
0.00164,30
0.001645,30
0.00165,37
0.001655,40
0.00166,37
0.001665,32
0.00167,34
0.001675,40
0.00168,43
0.001685,39
0.00169,34
0.001695,38
0.0017,46
0.001705,45
0.00171,39
0.001715,39
0.00172,45
0.001725,49
0.00173,46
0.001735,43
0.00174,45
0.001745,51
0.00175,51
0.001755,48
0.00176,49
0.001765,53
0.00177,54
0.001775,53
0.00178,54
0.001785,55.99999999999999
0.00179,56.99999999999999
0.001795,56.99999999999999
0.0018,59.99999999999999
0.001805,59
0.00181,60.99999999999999
0.001815,63
0.00182,63
0.001825,64
0.00183,66
0.001835,66
0.00184,69
0.001845,69
0.00185,69
0.001855,72
0.00186,74
0.001865,74
0.00187,75
0.001875,76
0.00188,78
0.001885,80
0.00189,81
0.001895,81
0.0019,83.00000000000001
0.001905,85
0.00191,86
0.001915,88
0.00192,88
0.001925,89
0.00193,93
0.001935,93
0.00194,94
0.001945,95
0.00195,97
0.001955,99.99999999999999
0.00196,99.99999999999999
0.001965,99.99999999999999
0.00197,104
0.001975,105
0.00198,105
0.001985,107
0.00199,109
0.001995,111
0.002,112
0.002005,112
0.00201,116
0.002015,116
0.00202,118
0.002025,119
0.00203,120
0.002035,123
0.00204,124
0.002045,126
0.00205,126
0.002055,128
0.00206,131
0.002065,131
0.00207,132
0.002075,134
0.002079999999999999,137
0.002084999999999999,138
0.002089999999999999,138
0.002094999999999999,140
0.002099999999999999,142
0.002104999999999998,145
0.002109999999999998,143
0.002114999999999998,147
0.002119999999999998,148
0.002124999999999998,149
0.002129999999999997,151
0.002134999999999997,153
0.002139999999999997,153
0.002144999999999997,154
0.002149999999999997,158
0.002154999999999996,159
0.002159999999999996,158
0.002164999999999996,161
0.002169999999999996,163
0.002174999999999996,163
0.002179999999999995,165
0.002184999999999995,168
0.002189999999999995,167
0.002194999999999995,169
0.002199999999999994,170
0.002204999999999994,173
0.002209999999999994,174
0.002214999999999994,174
0.002219999999999994,175
0.002224999999999993,178
0.002229999999999993,179
0.002234999999999993,181
0.002239999999999993,180
0.002244999999999993,182
0.002249999999999992,184
0.002254999999999992,186
0.002259999999999992,186
0.002264999999999992,187
0.002269999999999992,188
0.002274999999999991,190
0.002279999999999991,192
0.002284999999999991,192
0.002289999999999991,192
0.002294999999999991,195
0.00229999999999999,196
0.00230499999999999,196
0.00230999999999999,197
0.00231499999999999,200
0.00231999999999999,200
0.002324999999999989,200
0.002329999999999989,201
0.002334999999999989,203
0.002339999999999989,205
0.002344999999999989,205
0.002349999999999988,205
0.002354999999999988,205
0.002359999999999988,208
0.002364999999999988,211
0.002369999999999988,208
0.002374999999999987,208
0.002379999999999987,212
0.002384999999999987,213
0.002389999999999987,212
0.002394999999999987,213
0.002399999999999986,213
0.002404999999999986,215
0.002409999999999986,217
0.002414999999999986,216
0.002419999999999986,215
0.002424999999999985,217
0.002429999999999985,220
0.002434999999999985,219
0.002439999999999985,218
0.002444999999999985,219
0.002449999999999984,221
0.002454999999999984,222
0.002459999999999984,221
0.002464999999999984,220
0.002469999999999983,223
0.002474999999999983,224
0.002479999999999983,223
0.002484999999999983,222
0.002489999999999983,224
0.002494999999999982,225
0.002499999999999982,224
0.002504999999999982,225
0.002509999999999982,225
0.002514999999999982,225
0.002519999999999981,225.9999999999999
0.002524999999999981,225
0.002529999999999981,225.9999999999999
