spectrum_vin (va=0.05) X,spectrum_vin (va=0.05) Y,spectrum_vin (va=0.02) X,spectrum_vin (va=0.02) Y,spectrum_vin (va=0.1) X,spectrum_vin (va=0.1) Y
8496.093749999998,-304.9110823696911,8496.093749999998,-312.8547127346013,8496.093749999998,-298.8904824564115
8593.749999999998,-305.0101087144045,8593.749999999998,-312.9657588370665,8593.749999999998,-298.9895088011248
8691.406249999998,-305.088322159057,8691.406249999998,-313.0611428812346,8691.406249999998,-299.0677222457774
8789.062499999998,-305.1679305440827,8789.062499999998,-313.1264715986851,8789.062499999998,-299.147330630803
8886.718749999998,-305.2606077269543,8886.718749999998,-313.222357653247,8886.718749999998,-299.2400078136747
8984.374999999998,-305.342530194263,8984.374999999998,-313.2992323463316,8984.374999999998,-299.3219302809833
9082.031249999998,-305.4827354431573,9082.031249999998,-313.4310028742998,9082.031249999998,-299.4621355298777
9179.687499999998,-305.5849096902328,9179.687499999998,-313.5399463045229,9179.687499999998,-299.5643097769532
9277.343749999998,-305.6450422722597,9277.343749999998,-313.6147925468949,9277.343749999998,-299.6244423589801
9374.999999999998,-305.7302145933322,9374.999999999998,-313.6899005877403,9374.999999999998,-299.7096146800526
9472.656249999998,-305.8565027359647,9472.656249999998,-313.8255850072925,9472.656249999998,-299.8359028226851
9570.312499999998,-305.9721193691522,9570.312499999998,-313.9348464865265,9570.312499999998,-299.9515194558725
9667.968749999998,-305.9994318284108,9667.968749999998,-313.9649861805881,9667.968749999998,-299.9788319151312
9765.624999999998,-306.0983239494323,9765.624999999998,-314.0574175931369,9765.624999999998,-300.0777240361526
9863.281249999998,-306.2125058208118,9863.281249999998,-314.1804569371242,9863.281249999998,-300.1919059075321
9960.937499999998,-306.2561427135876,9960.937499999998,-314.2126566628205,9960.937499999998,-300.235542800308
10058.59375,-306.4059792600409,10058.59375,-314.3473820259894,10058.59375,-300.3853793467612
10156.25,-306.4719060652008,10156.25,-314.4329469804411,10156.25,-300.4513061519211
10253.90625,-306.53657990648,10253.90625,-314.4866995105375,10253.90625,-300.5159799932003
10351.5625,-306.6156613509458,10351.5625,-314.5797737111154,10351.5625,-300.5950614376662
10449.21875,-306.6899605156065,10449.21875,-314.6547469658573,10449.21875,-300.6693606023268
10546.875,-306.7951656385178,10546.875,-314.7560057724563,10546.875,-300.7745657252382
10644.53125,-306.8732166957698,10644.53125,-314.8126248686785,10644.53125,-300.8526167824901
10742.1875,-306.8885574590336,10742.1875,-314.8452059091865,10742.1875,-300.8679575457539
10839.84375,-307.0159537784894,10839.84375,-314.9626656850854,10839.84375,-300.9953538652098
10937.5,-307.1825426974254,10937.5,-315.13448217043,10937.5,-301.1619427841458
11035.15625,-307.296138722207,11035.15625,-315.2448439380718,11035.15625,-301.2755388089274
11132.8125,-307.1739928526858,11132.8125,-315.1368633515575,11132.8125,-301.1533929394062
11230.46875,-307.2383614948352,11230.46875,-315.1908878905011,11230.46875,-301.2177615815556
11328.125,-307.407140186053,11328.125,-315.3769626744438,11328.125,-301.3865402727734
11425.78125,-307.4504332846512,11425.78125,-315.4025205651388,11425.78125,-301.4298333713716
11523.4375,-307.6060007527597,11523.4375,-315.5592263226584,11523.4375,-301.58540083948
11621.09375,-307.610350103648,11621.09375,-315.586057553217,11621.09375,-301.5897501903684
11718.75,-307.6841783903616,11718.75,-315.6411542885934,11718.75,-301.663578477082
11816.40625,-307.7888704991367,11816.40625,-315.699131699139,11816.40625,-301.7682705858571
11914.0625,-307.8329056708532,11914.0625,-315.7913352025611,11914.0625,-301.8123057575736
12011.71875,-307.8983082882554,12011.71875,-315.8650986997297,12011.71875,-301.8777083749757
12109.375,-307.9684019799936,12109.375,-315.9290179397632,12109.375,-301.947802066714
12207.03125,-308.0832524669094,12207.03125,-316.0257720861327,12207.03125,-302.0626525536297
12304.6875,-308.1350238271292,12304.6875,-316.0954587525831,12304.6875,-302.1144239138496
12402.34375,-308.3134173193074,12402.34375,-316.285360124834,12402.34375,-302.2928174060278
12500,-308.2928411560828,12500,-316.2367817363569,12500,-302.2722412428032
12597.65625,-308.1471780290111,12597.65625,-316.1196432816283,12597.65625,-302.1265781157314
12695.3125,-308.4613097724229,12695.3125,-316.402793231451,12695.3125,-302.4407098591432
12792.96875,-308.5502065135261,12792.96875,-316.5323408522271,12792.96875,-302.5296066002465
12890.625,-308.5542966802692,12890.625,-316.5202799657814,12890.625,-302.5336967669896
12988.28125,-308.3350939834797,12988.28125,-316.3065009555224,12988.28125,-302.3144940702001
13085.9375,-308.6739063914732,13085.9375,-316.6291069775243,13085.9375,-302.6533064781936
13183.59375,-308.4176549117823,13183.59375,-316.4428808026919,13183.59375,-302.3970549985027
13281.25,-308.8198901963793,13281.25,-316.7760031591187,13281.25,-302.7992902830997
13378.90625,-308.8319120716185,13378.90625,-316.8214664238023,13378.90625,-302.8113121583389
13476.5625,-308.7961312188257,13476.5625,-316.7589889481874,13476.5625,-302.7755313055461
13574.21875,-309.0360189835109,13574.21875,-316.9938339452315,13574.21875,-303.0154190702312
13671.875,-308.9454078315898,13671.875,-316.9044205478623,13671.875,-302.9248079183102
13769.53125,-309.0465199108522,13769.53125,-317.0056501341116,13769.53125,-303.0259199975725
13867.1875,-309.2459712913374,13867.1875,-317.220921947678,13867.1875,-303.2253713780577
13964.84375,-309.1194403239015,13964.84375,-317.0810566232474,13964.84375,-303.0988404106219
14062.5,-309.211728012124,14062.5,-317.1805602719814,14062.5,-303.1911280988444
14160.15625,-309.4770136894744,14160.15625,-317.4053351003809,14160.15625,-303.4564137761948
14257.8125,-309.4023259727899,14257.8125,-317.3535777234408,14257.8125,-303.3817260595103
14355.46875,-309.3525340315678,14355.46875,-317.2780742521318,14355.46875,-303.3319341182882
14453.125,-309.5313026661865,14453.125,-317.4920445452639,14453.125,-303.5107027529069
14550.78125,-309.2196998699719,14550.78125,-317.1927331177123,14550.78125,-303.1990999566923
14648.4375,-309.6183390953119,14648.4375,-317.5726067646086,14648.4375,-303.5977391820322
14746.09375,-309.7243213397477,14746.09375,-317.665611082714,14746.09375,-303.7037214264681
14843.75,-309.6009997108313,14843.75,-317.5515106930128,14843.75,-303.5803997975516
14941.40625,-309.7299338726875,14941.40625,-317.6915309753555,14941.40625,-303.7093339594079
15039.0625,-309.7688820484635,15039.0625,-317.7292150790826,15039.0625,-303.748282135184
15136.71875,-309.8089212668817,15136.71875,-317.7598914521393,15136.71875,-303.788321353602
15234.375,-309.9628490777116,15234.375,-317.9131159970604,15234.375,-303.942249164432
15332.03125,-309.9747329174908,15332.03125,-317.9312444813576,15332.03125,-303.9541330042112
15429.6875,-310.0012790414598,15429.6875,-317.9725717483259,15429.6875,-303.9806791281802
15527.34375,-310.0157912744551,15527.34375,-317.9885957103435,15527.34375,-303.9951913611754
15625,-310.2458996075754,15625,-318.2051444583244,15625,-304.2252996942958
15722.65625,-310.2595331669026,15722.65625,-318.2102697581241,15722.65625,-304.238933253623
15820.3125,-310.2456489814142,15820.3125,-318.1984340087571,15820.3125,-304.2250490681346
15917.96875,-310.3817393191771,15917.96875,-318.3240626640164,15917.96875,-304.3611394058975
16015.625,-310.3114717036714,16015.625,-318.2804450056952,16015.625,-304.2908717903917
16113.28125,-310.3870220337878,16113.28125,-318.3345298303052,16113.28125,-304.3664221205082
16210.9375,-310.5040446739551,16210.9375,-318.4798429348206,16210.9375,-304.4834447606755
16308.59375,-310.4379911622795,16308.59375,-318.358947837276,16308.59375,-304.4173912489999
16406.25,-310.5586791702632,16406.25,-318.529298786218,16406.25,-304.5380792569836
16503.90625,-310.567477957897,16503.90625,-318.5698612440485,16503.90625,-304.5468780446174
16601.5625,-310.6812369151521,16601.5625,-318.6452920719802,16601.5625,-304.6606370018725
16699.21875,-310.7899223807811,16699.21875,-318.7630682503662,16699.21875,-304.7693224675015
16796.875,-310.7256786756768,16796.875,-318.6733566171238,16796.875,-304.7050787623972
16894.53125,-310.8535954735836,16894.53125,-318.7973350253199,16894.53125,-304.832995560304
16992.1875,-310.9618280918929,16992.1875,-318.9163064951114,16992.1875,-304.9412281786133
17089.84375,-311.0180919162851,17089.84375,-319.0068102788461,17089.84375,-304.9974920030055
17187.5,-310.97283616021,17187.5,-318.9396925614047,17187.5,-304.9522362469304
17285.15625,-311.0574436012424,17285.15625,-319.0281929818662,17285.15625,-305.0368436879628
17382.8125,-311.0240060286629,17382.8125,-318.977457151997,17382.8125,-305.0034061153833
17480.46875,-311.095060560733,17480.46875,-319.033885334147,17480.46875,-305.0744606474534
17578.125,-311.1748072422686,17578.125,-319.1214693882369,17578.125,-305.154207328989
17675.78125,-311.2544055979658,17675.78125,-319.2317540963517,17675.78125,-305.2338056846862
17773.4375,-311.2732147217434,17773.4375,-319.2259695802659,17773.4375,-305.2526148084638
17871.09375,-311.3282790343248,17871.09375,-319.3198747318503,17871.09375,-305.3076791210452
17968.75,-311.3336672844024,17968.75,-319.2913081526182,17968.75,-305.3130673711228
18066.40625,-311.4331145067181,18066.40625,-319.4546989965626,18066.40625,-305.4125145934385
18164.0625,-311.3492780124021,18164.0625,-319.3126295822633,18164.0625,-305.3286780991225
18261.71875,-311.4397549914253,18261.71875,-319.4372884178121,18261.71875,-305.4191550781456
18359.375,-311.5569166310639,18359.375,-319.5153906063027,18359.375,-305.5363167177842
18457.03125,-311.5986877316572,18457.03125,-319.5733123781353,18457.03125,-305.5780878183775
18554.6875,-311.6616603862329,18554.6875,-319.6172412255902,18554.6875,-305.6410604729533
18652.34375,-311.6060596019756,18652.34375,-319.5349885127162,18652.34375,-305.585459688696
18750,-311.8015134663352,18750,-319.7727230697472,18750,-305.7809135530555
18847.65625,-311.7113635956223,18847.65625,-319.664750101292,18847.65625,-305.6907636823427
18945.3125,-311.8652872736442,18945.3125,-319.8393713978145,18945.3125,-305.8446873603646
19042.96875,-311.829864117036,19042.96875,-319.7820037614329,19042.96875,-305.8092642037564
19140.625,-311.8728458005,19140.625,-319.8149008029769,19140.625,-305.8522458872204
19238.28125,-311.9579319353751,19238.28125,-319.9398441620332,19238.28125,-305.9373320220955
19335.9375,-311.9350042825278,19335.9375,-319.8994029057036,19335.9375,-305.9144043692482
19433.59375,-311.8729914791458,19433.59375,-319.8769091156612,19433.59375,-305.8523915658661
19531.25,-312.0790311582065,19531.25,-320.0346512100474,19531.25,-306.0584312449269
19628.90625,-312.0977368856878,19628.90625,-320.0053581492915,19628.90625,-306.0771369724081
19726.5625,-312.0478698261378,19726.5625,-320.0112155940118,19726.5625,-306.0272699128582
19824.21875,-312.1347283389555,19824.21875,-320.0669542508867,19824.21875,-306.1141284256759
19921.875,-312.3882750840348,19921.875,-320.3502228724751,19921.875,-306.3676751707551
20019.53125,-312.2487608201474,20019.53125,-320.211888788428,20019.53125,-306.2281609068677
20117.1875,-312.3982062022396,20117.1875,-320.3554791422035,20117.1875,-306.37760628896
20214.84375,-312.3532867891966,20214.84375,-320.3019356918825,20214.84375,-306.332686875917
20312.5,-312.4930289398939,20312.5,-320.4399286806869,20312.5,-306.4724290266142
20410.15625,-312.4954651770704,20410.15625,-320.4451465509736,20410.15625,-306.4748652637908
20507.8125,-312.3946897879196,20507.8125,-320.3625959091431,20507.8125,-306.37408987464
20605.46875,-312.5587977371578,20605.46875,-320.4847633170965,20605.46875,-306.5381978238781
20703.125,-312.5366122506239,20703.125,-320.4920314481865,20703.125,-306.5160123373443
20800.78125,-312.4307914284607,20800.78125,-320.3866765035059,20800.78125,-306.4101915151811
20898.4375,-312.6532294941655,20898.4375,-320.613052607112,20898.4375,-306.6326295808859
20996.09375,-312.7223637460831,20996.09375,-320.6752047480242,20996.09375,-306.7017638328035
21093.75,-312.6118383610046,21093.75,-320.568846173916,21093.75,-306.591238447725
