spectrum_Out (va=0.02) X,spectrum_Out (va=0.02) Y,spectrum_Out (va=0.05) X,spectrum_Out (va=0.05) Y,spectrum_Out (va=0.1) X,spectrum_Out (va=0.1) Y
8105.468749999999,-53.97417649130976,8105.468749999999,-63.87742480782266,8105.468749999999,-56.03470995311157
8203.124999999998,-47.52815671458342,8203.124999999998,-48.12304252073555,8203.124999999998,-58.37527451174174
8300.781249999998,-55.45009182686162,8300.781249999998,-49.12849303637343,8300.781249999998,-55.35102436000466
8398.437499999998,-50.98497244857616,8398.437499999998,-58.72780231004548,8398.437499999998,-52.10796630527081
8496.093749999998,-46.22499578208559,8496.093749999998,-49.41197361207301,8496.093749999998,-64.9511066079054
8593.749999999998,-52.21783020247258,8593.749999999998,-53.49453610097693,8593.749999999998,-47.09813742623847
8691.406249999998,-54.21515932937254,8691.406249999998,-50.53137749147345,8691.406249999998,-49.60016639660311
8789.062499999998,-47.34418812411205,8789.062499999998,-50.26936812692297,8789.062499999998,-59.81816207815798
8886.718749999998,-66.81147264870224,8886.718749999998,-51.28241970054621,8886.718749999998,-78.45219370865827
8984.374999999998,-58.47733310777579,8984.374999999998,-54.79828878025199,8984.374999999998,-48.28671198988518
9082.031249999998,-54.70053814170073,9082.031249999998,-54.73374965611854,9082.031249999998,-48.08613365817824
9179.687499999998,-51.09449677614775,9179.687499999998,-58.588845685087,9179.687499999998,-48.29780223320242
9277.343749999998,-56.95171127413657,9277.343749999998,-57.55202203702338,9277.343749999998,-51.73325824514841
9374.999999999998,-50.45017564561001,9374.999999999998,-62.2949215620934,9374.999999999998,-57.60924206000308
9472.656249999998,-53.98980263756701,9472.656249999998,-51.35817623695323,9472.656249999998,-49.57792842214928
9570.312499999998,-52.13227681511654,9570.312499999998,-55.06512100481602,9570.312499999998,-57.71731571081553
9667.968749999998,-54.9169817758884,9667.968749999998,-74.76151516419792,9667.968749999998,-54.07451729097141
9765.624999999998,-53.56132785905277,9765.624999999998,-50.26860788498197,9765.624999999998,-53.35936771027033
9863.281249999998,-66.70729878827257,9863.281249999998,-55.49062897257177,9863.281249999998,-48.18967066607201
9960.937499999998,-54.010316310555,9960.937499999998,-54.61472139818511,9960.937499999998,-45.72753102562329
10058.59375,-53.58496671290487,10058.59375,-55.65018976882576,10058.59375,-42.63340325807412
