spectrum_Out X,spectrum_Out Y,spectrum_ve X,spectrum_ve Y,spectrum_vin X,spectrum_vin Y
3320.3125,-55.66464444185868,3320.3125,-108.8656832152503,3320.3125,-290.399956608068
3417.96875,-54.70253075502475,3417.96875,-107.9035695165371,3417.96875,-290.6742966056393
3515.625,-56.71144815089255,3515.625,-109.9124869182826,3515.625,-290.9679004596547
3613.28125,-56.23695261151474,3613.28125,-109.4379913755893,3613.28125,-291.2266525679029
3710.9375,-50.27629799665822,3710.9375,-103.4773367659824,3710.9375,-291.502450406918
3808.59375,-57.41793594900186,3808.59375,-110.6189747158017,3808.59375,-291.7194063898888
3906.25,-52.91011174613877,3906.25,-106.1111505080015,3906.25,-291.9482125184892
4003.90625,-53.15815592545144,4003.90625,-106.3591946940328,4003.90625,-292.1389629135131
4101.562499999999,-71.53697887824609,4101.562499999999,-124.7380176658405,4101.562499999999,-292.3584509046481
4199.218749999999,-57.78813057256023,4199.218749999999,-110.9891693361914,4199.218749999999,-292.5735083841771
4296.874999999999,-59.93411229780379,4296.874999999999,-113.1351510567363,4296.874999999999,-292.8076031405889
4394.531249999999,-49.38970729379921,4394.531249999999,-102.5907460590125,4394.531249999999,-293.0286493883319
4492.187499999999,-54.46335592198584,4492.187499999999,-107.6643946926433,4492.187499999999,-293.2405270625578
4589.843749999999,-57.46520284899962,4589.843749999999,-110.6662416113987,4589.843749999999,-293.4293797171327
4687.499999999999,-69.12955188956602,4687.499999999999,-122.330590663092,4687.499999999999,-293.6210143106351
4785.156249999999,-58.19834717339667,4785.156249999999,-111.3993859371596,4785.156249999999,-293.7817451077404
4882.812499999999,-64.7759226908762,4882.812499999999,-117.97696145627,4882.812499999999,-293.9623612932915
4980.468749999999,-71.46562724975743,4980.468749999999,-124.6666660267689,4980.468749999999,-294.1337401072435
5078.124999999999,-52.87401517299894,5078.124999999999,-106.0750539399905,5078.124999999999,-294.3272904118607
