spectrum_ve (va=0.02) X,spectrum_ve (va=0.02) Y,spectrum_ve (va=0.05) X,spectrum_ve (va=0.05) Y,spectrum_ve (va=0.1) X,spectrum_ve (va=0.1) Y
9570.312499999998,-105.3333155809674,9570.312499999998,-108.2661597697986,9570.312499999998,-110.9183544755536
9667.968749999998,-108.1180205418368,9667.968749999998,-127.9625539390891,9667.968749999998,-107.2755560556877
9765.624999999998,-106.7623666254661,9765.624999999998,-103.4696466511783,9765.624999999998,-106.5604064745654
9863.281249999998,-119.9083375555465,9863.281249999998,-108.6916677385339,9863.281249999998,-101.3907094315024
9960.937499999998,-107.2113550770353,9960.937499999998,-107.8157601648232,9960.937499999998,-98.92856979146295
10058.59375,-106.7860054788392,10058.59375,-108.85122853387,10058.59375,-95.83444202419052
10156.25,-105.5071793685663,10156.25,-111.4340614022051,10156.25,-104.4335666379538
10253.90625,-110.8386449609037,10253.90625,-105.2219883946824,10253.90625,-103.0447331526192
10351.5625,-108.6414926525422,10351.5625,-107.1982295555246,10351.5625,-107.1332086481632
10449.21875,-112.0415709305141,10449.21875,-114.9075451753703,10449.21875,-109.8870314177066
10546.875,-109.9582112773204,10546.875,-102.6289358965461,10546.875,-114.5848297503293
10644.53125,-103.3682661215693,10644.53125,-98.20306518616133,10644.53125,-104.0782560211992
10742.1875,-105.7360866820187,10742.1875,-99.79331949538229,10742.1875,-104.2562612697545
10839.84375,-113.283413749565,10839.84375,-101.3507198306042,10839.84375,-107.0004395635101
10937.5,-113.0090490483452,10937.5,-109.0839518683053,10937.5,-111.3288984772802
11035.15625,-103.2698754228668,11035.15625,-106.0686614143456,11035.15625,-104.2485686857696
11132.8125,-101.3450730625001,11132.8125,-107.1982010208891,11132.8125,-108.1792188135533
11230.46875,-120.2480899522789,11230.46875,-102.6704641340253,11230.46875,-101.7211254634158
11328.125,-102.5386585465012,11328.125,-105.409432124658,11328.125,-103.4693481979278
11425.78125,-113.6776402096505,11425.78125,-104.2649916076818,11425.78125,-99.68813824162589
11523.4375,-108.80145192503,11523.4375,-105.8278918188244,11523.4375,-106.8822095022968
11621.09375,-106.3802370546776,11621.09375,-100.9724840632818,11621.09375,-104.5167755511162
11718.75,-104.0051980973732,11718.75,-107.9498347085414,11718.75,-107.2279064133561
11816.40625,-100.0998959337054,11816.40625,-102.742204885273,11816.40625,-110.9550416808115
11914.0625,-105.5814991550073,11914.0625,-106.0913548763893,11914.0625,-102.6794120529844
12011.71875,-100.2794933166199,12011.71875,-101.4676490655144,12011.71875,-101.0629416697699
12109.375,-97.64037019635947,12109.375,-112.8319383692378,12109.375,-117.1926925771117
12207.03125,-100.8612535208408,12207.03125,-97.75129433928015,12207.03125,-112.9708151758765
12304.6875,-104.6783927280786,12304.6875,-102.9307977425521,12304.6875,-99.69773836328764
12402.34375,-114.6237830911895,12402.34375,-105.9033429255238,12402.34375,-99.78181693651665
12500,-118.5638087051018,12500,-99.78412826072545,12500,-111.1413267646385
12597.65625,-103.742041411615,12597.65625,-109.7198516487502,12597.65625,-105.0419055620643
12695.3125,-105.8804752499761,12695.3125,-100.0514481184538,12695.3125,-102.4140932108251
12792.96875,-100.3649881752958,12792.96875,-103.927908573038,12792.96875,-98.53960621004072
12890.625,-109.5017866516322,12890.625,-96.81113407633578,12890.625,-95.26442329785723
12988.28125,-106.2900291825605,12988.28125,-106.9557966767042,12988.28125,-111.3433181107733
13085.9375,-117.0767311836456,13085.9375,-106.3084086989655,13085.9375,-111.3130292798723
13183.59375,-101.9675671784829,13183.59375,-103.7826048532451,13183.59375,-106.5499700861224
13281.25,-101.6869999280451,13281.25,-102.5496496324979,13281.25,-98.0181659870687
13378.90625,-107.6632792702276,13378.90625,-110.9636306492645,13378.90625,-99.12596757399668
13476.5625,-101.1871790843476,13476.5625,-99.37841803102701,13476.5625,-107.4170198865966
13574.21875,-100.1403995363674,13574.21875,-100.9950151013801,13574.21875,-107.5150607194703
13671.875,-101.2743598655899,13671.875,-108.6904530404161,13671.875,-96.2471938944617
13769.53125,-107.0497870763882,13769.53125,-105.6021621991166,13769.53125,-101.4852138696623
13867.1875,-103.5229157216835,13867.1875,-105.6214127860984,13867.1875,-116.5736930877304
13964.84375,-99.84714811879668,13964.84375,-101.2424195261566,13964.84375,-106.470348430802
14062.5,-111.7504119840137,14062.5,-98.6023295268137,14062.5,-95.86607717734177
14160.15625,-107.2914786765939,14160.15625,-99.83530400484065,14160.15625,-104.2518212130232
14257.8125,-113.4960751572608,14257.8125,-104.026966790294,14257.8125,-105.7542856453325
14355.46875,-104.8578411418072,14355.46875,-106.6933053629507,14355.46875,-103.6722562262316
14453.125,-100.6735100904923,14453.125,-99.04826447429417,14453.125,-96.85492442550947
14550.78125,-109.7095836956503,14550.78125,-103.5761437970707,14550.78125,-101.7996354251929
14648.4375,-97.26339144717244,14648.4375,-115.3285422064127,14648.4375,-100.2325432006811
14746.09375,-98.48716450313796,14746.09375,-113.9397725448746,14746.09375,-103.30719939184
14843.75,-109.2432808897,14843.75,-102.7177753570608,14843.75,-102.5405137269263
14941.40625,-117.2657059771005,14941.40625,-96.98295139135583,14941.40625,-101.8830374363657
15039.0625,-103.0407944551235,15039.0625,-109.7603391366498,15039.0625,-99.71894904332252
