spectrum_Out X,spectrum_Out Y,spectrum_vin X,spectrum_vin Y,spectrum_ve X,spectrum_ve Y
927.7343750000001,-49.27758269765062,927.7343750000001,-278.4091148996778,927.7343750000001,-102.4786214618198
976.5625000000001,-58.55612570836718,976.5625000000001,-279.5257727269735,976.5625000000001,-111.7571644455593
1025.390625,-43.12577842620649,1025.390625,-280.0966869872605,1025.390625,-96.32681719784694
1074.21875,-58.05868017080979,1074.21875,-280.1395326739528,1074.21875,-111.2597189677734
1123.046875,-65.24782331952153,1123.046875,-280.9161018485036,1123.046875,-118.4488620469449
1171.875,-54.96476017327133,1171.875,-281.5589799041378,1171.875,-108.165798925434
1220.703125,-52.42460309042811,1220.703125,-281.5878336613387,1220.703125,-105.6256418505372
1269.53125,-52.81835402139387,1269.53125,-282.1108339573623,1269.53125,-106.0193927975174
1318.359375,-60.23572746925778,1318.359375,-282.7688694614137,1318.359375,-113.4367662090709
1367.1875,-50.10501759790411,1367.1875,-282.8249276707485,1367.1875,-103.3060563650797
1416.015625,-59.93340284781581,1416.015625,-283.1594418744434,1416.015625,-113.1344415865968
1464.84375,-51.51539830629498,1464.84375,-283.7815803179358,1464.84375,-104.7164370656834
1513.671875,-49.72986137766465,1513.671875,-283.9029572703359,1513.671875,-102.9309001482956
1562.5,-50.51119770217461,1562.5,-284.0888212321097,1562.5,-103.7122364642498
1611.328125,-53.82835235590583,1611.328125,-284.6435619040029,1611.328125,-107.0293911245982
1660.15625,-57.55015014124264,1660.15625,-284.8299276897961,1660.15625,-110.7511888989418
1708.984375,-53.42251056326261,1708.984375,-284.9205973421663,1708.984375,-106.6235493398804
1757.8125,-58.13165007722734,1757.8125,-285.3791928089252,1757.8125,-111.3326888261181
1806.640625,-54.79071734841867,1806.640625,-285.6274923352863,1806.640625,-107.9917561180607
1855.46875,-51.72637586482382,1855.46875,-285.6636898948661,1855.46875,-104.9274146358317
1904.296875,-52.07227122315186,1904.296875,-286.0180633488193,1904.296875,-105.2733099941685
1953.125,-54.49702745365342,1953.125,-286.3233578842949,1953.125,-107.6980662291729
2001.953125,-49.10190307515645,2001.953125,-286.3377884000907,2001.953125,-102.3029418361428
2050.78125,-53.38801255310584,2050.78125,-286.5880556057419,2050.78125,-106.5890513154959
2099.609375,-71.52319132856321,2099.609375,-286.9234948233458,2099.609375,-124.7242300609187
2148.4375,-51.80623300771999,2148.4375,-286.9594984219049,2148.4375,-105.0072717785699
2197.265625,-49.85572955314994,2197.265625,-287.1241687701907,2197.265625,-103.0567683206869
2246.09375,-60.47273795158055,2246.09375,-287.4645380279268,2246.09375,-113.6737767286741
2294.921875,-60.6069327998431,2294.921875,-287.5454186911778,2294.921875,-113.8079715591392
2343.75,-48.78180326065672,2343.75,-287.6448046692752,2343.75,-101.9828420253671
2392.578125,-55.09949940778881,2392.578125,-287.9720640867563,2392.578125,-108.300538179507
2441.40625,-58.41378857600139,2441.40625,-288.1179410710204,2441.40625,-111.6148273464563
2490.234375,-59.0993259944787,2490.234375,-288.1773205678625,2490.234375,-112.3003647481204
2539.0625,-55.34624860534543,2539.0625,-288.4652543280287,2539.0625,-108.5472873729134
2587.890625,-50.11369244079457,2587.890625,-288.6811185397627,2587.890625,-103.314731204911
2636.71875,-56.44230384381659,2636.71875,-288.7218384057497,2636.71875,-109.643342613355
2685.546875,-56.82204848962427,2685.546875,-288.9689646348389,2685.546875,-110.0230872631504
2734.375,-64.81455769666536,2734.375,-289.2390232690458,2734.375,-118.0155964836962
2783.203125,-54.58481668134566,2783.203125,-289.2885825506982,2783.203125,-107.7858554402706
2832.03125,-56.79470736846965,2832.03125,-289.4970660953861,2832.03125,-109.995746134259
2880.859375,-50.54219865473775,2880.859375,-289.7863943374982,2880.859375,-103.7432374176829
2929.6875,-51.99823396851016,2929.6875,-289.8565552547597,2929.6875,-105.19927273884
2978.515625,-55.44732005853432,2978.515625,-290.0174664268587,2978.515625,-108.6483588270059
3027.34375,-54.01009588745826,3027.34375,-290.3107759420316,3027.34375,-107.2111346507545
3076.171875,-49.36202346145908,3076.171875,-290.425025207209,3076.171875,-102.5630622307129
3125,-51.45721044140095,3125,-290.5405391495917,3125,-104.6582492039171
3173.828125,-51.20204087069339,3173.828125,-290.8099018439288,3173.828125,-104.4030796400435
3222.65625,-53.53131011983992,3222.65625,-290.9687700389176,3222.65625,-106.7323488839402
3271.484375,-73.05976814631491,3271.484375,-291.042721381681,3271.484375,-126.2608069262789
